City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
85,Lagos,NG,6.5833,3.75,82.4,83,20,4.03,few clouds
86,Kilindoni,TZ,-7.9139,39.6668,79.47,78,76,10.4,light rain
87,Fort-Shevchenko,KZ,44.5086,50.263,78.3,23,0,24.34,clear sky
88,Surin,TH,14.8818,103.4936,91.4,58,20,2.3,few clouds
89,Hambantota,LK,6.1241,81.1185,87.8,79,0,5.75,clear sky
90,Colac,AU,-38.3333,143.5833,60.01,70,59,3.0,broken clouds
91,Las Palmas,ES,28.4204,-14.0131,68.0,73,21,14.97,few clouds
92,Maneromango,TZ,-7.1988,38.7848,73.4,94,75,10.36,broken clouds
93,Caravelas,BR,-17.7125,-39.2481,71.37,76,97,4.38,overcast clouds
94,Horta,PT,38.5333,-28.6333,64.51,91,99,23.0,overcast clouds
95,Manokwari,ID,-0.8667,134.0833,82.24,76,98,4.81,overcast clouds
96,Grand Gaube,MU,-20.0064,57.6608,78.01,65,30,8.99,scattered clouds
97,Jumla,NP,29.2747,82.1838,69.58,26,39,5.28,scattered clouds
98,Victoria,HK,22.2855,114.1577,91.99,55,12,11.99,few clouds
99,Caledonia,US,42.8078,-87.9242,54.0,76,1,4.29,clear sky
100,Esperance,AU,-33.8667,121.9,64.4,48,100,18.41,overcast clouds
101,Astoria,US,46.1879,-123.8313,52.0,87,90,10.36,overcast clouds
102,Port Hardy,CA,50.6996,-127.4199,51.8,93,90,2.3,light rain
103,Karratha,AU,-20.7377,116.8463,80.53,30,54,17.98,broken clouds
104,Haines Junction,CA,60.7522,-137.5108,41.0,81,100,4.61,light snow
105,Kaitangata,NZ,-46.2817,169.8464,55.0,58,57,5.08,broken clouds
106,Soe,ID,-9.8607,124.284,76.14,61,76,8.55,broken clouds
107,Skjervoy,NO,70.0311,20.9714,42.21,87,100,3.89,overcast clouds
108,Kumta,IN,14.4167,74.4,81.72,83,100,13.65,overcast clouds
109,Hithadhoo,MV,-0.6,73.0833,84.65,71,21,9.64,few clouds
110,Innisfail,AU,-17.5333,146.0333,71.83,77,98,12.3,overcast clouds
111,Aquiraz,BR,-3.9014,-38.3911,79.0,94,0,4.61,clear sky
112,Koungou,YT,-12.7336,45.2042,73.4,94,75,5.75,broken clouds
113,Teya,RU,60.3778,92.6267,43.84,29,2,6.35,clear sky
114,Touros,BR,-5.1989,-35.4608,73.4,94,20,4.61,few clouds
115,Sorong,ID,-0.8833,131.25,82.38,82,81,4.88,broken clouds
116,Chifeng,CN,42.2683,118.9636,77.5,12,0,3.4,clear sky
117,Auki,SB,-8.7676,160.7034,85.75,66,84,6.85,broken clouds
118,Nosy Varika,MG,-20.5833,48.5333,70.02,86,9,6.26,clear sky
119,Rosarito,MX,32.3333,-117.0333,59.0,77,90,6.91,overcast clouds
120,Longyearbyen,SJ,78.2186,15.6401,21.2,73,0,3.44,clear sky
121,Puerto El Triunfo,SV,13.2833,-88.55,84.2,94,40,8.05,scattered clouds
122,Muros,ES,42.7762,-9.0603,50.0,95,100,1.01,overcast clouds
123,Fonyod,HU,46.7555,17.5795,57.2,88,90,11.5,light rain
124,Airai,TL,-8.9266,125.4092,74.03,48,50,3.78,scattered clouds
125,Saint-Leu,RE,-21.15,55.2833,75.2,56,20,4.61,few clouds
126,Shadegan,IR,30.6497,48.6647,86.0,48,0,7.94,clear sky
127,Hyeres,FR,43.1167,6.1167,57.2,62,0,16.11,clear sky
128,Port-De-Bouc,FR,43.4,4.9833,55.4,71,0,12.66,clear sky
129,Gold Coast,AU,-28.0,153.4333,72.0,33,4,12.66,clear sky
130,Saskylakh,RU,71.9167,114.0833,25.11,93,100,20.54,light snow
131,Guadalajara,MX,20.6667,-103.3333,78.8,22,1,9.22,clear sky
132,Helong,CN,42.5397,128.9972,71.69,23,54,5.73,broken clouds
133,Bazarnyye Mataki,RU,54.8833,49.9333,69.19,58,38,7.31,scattered clouds
134,Itaituba,BR,-4.2761,-55.9836,73.94,96,100,1.81,overcast clouds
135,Fortuna,US,40.5982,-124.1573,51.01,100,90,5.75,overcast clouds
136,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.97,75,21,6.08,few clouds
137,Buala,SB,-8.145,159.5921,85.15,71,92,11.61,light rain
138,Carnarvon,AU,-24.8667,113.6333,78.8,69,80,5.75,broken clouds
139,Naze,JP,28.3667,129.4833,84.2,79,75,17.27,broken clouds
140,Bredasdorp,ZA,-34.5322,20.0403,48.2,87,8,5.75,clear sky
141,Chuy,UY,-33.6971,-53.4616,50.65,78,79,3.83,broken clouds
142,Sambava,MG,-14.2667,50.1667,73.9,75,41,9.57,light rain
143,Sesheke,ZM,-17.4759,24.2968,54.79,53,1,2.64,clear sky
144,Port Lincoln,AU,-34.7333,135.8667,59.92,55,100,1.97,overcast clouds
145,Narsaq,GL,60.9167,-46.05,37.4,56,1,1.14,clear sky
146,Providencia,MX,28.7167,-111.5833,72.0,53,0,7.38,clear sky
147,Nikolskoye,RU,59.7035,30.7861,55.99,87,14,8.95,fog
148,Sungaipenuh,ID,-2.0833,101.3833,75.18,81,100,2.55,overcast clouds
149,Gannan,CN,47.9147,123.5031,78.82,19,3,9.93,clear sky
150,Waspan,NI,14.7419,-83.9717,76.15,84,100,3.31,overcast clouds
151,Sitka,US,57.0531,-135.33,46.4,71,90,6.91,light rain
152,Komsomolskiy,UZ,40.4272,71.7189,75.2,33,1,2.3,clear sky
153,Mahebourg,MU,-20.4081,57.7,77.0,73,75,11.5,broken clouds
154,Balint,RO,45.8125,21.8536,50.0,100,0,10.36,clear sky
155,Mount Gambier,AU,-37.8333,140.7667,59.0,72,75,10.36,broken clouds
156,Seddon,AU,-37.8068,144.8916,61.0,63,90,11.5,overcast clouds
157,Ixtapa,MX,20.7,-105.2,79.0,89,1,3.44,clear sky
158,Tura,IN,25.5198,90.2201,84.22,70,1,4.63,clear sky
159,Maumere,ID,-8.6199,122.2111,83.57,60,62,1.63,broken clouds
160,Fairbanks,US,64.8378,-147.7164,51.01,81,75,8.05,moderate rain
161,Stornoway,GB,58.2093,-6.3865,46.99,93,90,1.88,overcast clouds
162,Ginda,IN,30.6945,78.4932,77.61,26,2,5.3,clear sky
163,Labuhan,ID,-6.8844,112.2051,86.5,62,88,1.43,overcast clouds
164,Gemena,CD,3.25,19.7667,69.44,98,90,1.9,overcast clouds
165,Port Blair,IN,11.6667,92.75,89.6,84,40,4.61,scattered clouds
166,Adrar,MR,20.5022,-10.0711,82.47,18,53,11.05,broken clouds
167,Katsuura,JP,35.1333,140.3,77.0,87,99,7.0,overcast clouds
168,Cockburn Town,TC,21.4612,-71.1419,79.66,78,3,16.15,clear sky
169,Vaitape,PF,-16.5167,-151.75,81.91,70,40,15.73,scattered clouds
170,Upernavik,GL,72.7868,-56.1549,28.44,93,100,6.17,overcast clouds
171,Miri,MY,4.4148,114.0089,86.0,74,40,4.61,scattered clouds
172,Batemans Bay,AU,-35.7167,150.1833,62.01,47,57,4.0,broken clouds
173,Dekalb,US,33.7504,-84.2333,66.0,72,1,3.44,clear sky
174,Gat,IL,31.61,34.7642,68.0,100,100,5.01,overcast clouds
175,Yulara,AU,-25.2406,130.9889,64.4,25,23,17.27,few clouds
176,Port Alfred,ZA,-33.5906,26.891,56.37,67,18,16.15,few clouds
177,Baruun-Urt,MN,46.6806,113.2792,72.36,16,4,13.71,clear sky
178,Alofi,NU,-19.0595,-169.9187,80.6,78,6,13.8,clear sky
179,Torbay,CA,47.6666,-52.7314,36.0,93,1,6.91,clear sky
180,Gambela,ET,8.25,34.5833,74.66,75,98,4.68,overcast clouds
